Artist,Name_song,Duration,year,Genre
hchopping0,Face to face zero administration capability,380747.63,1993,pop
lyitshak1,Enterprise-wide hybrid leverage,199441.68,2004,pop
rscohier2,Face to face modular flexibility,88701.23,2009,pop
tfost3,Function-based zero administration secured line,552136.75,1998,hip hop
fbernardes4,Integrated attitude-oriented throughput,880577.13,1997,pop
acummins5,Mandatory system-worthy array,820781.87,1987,hip hop
rdadge6,Fundamental object-oriented utilisation,214613.19,2006,hip hop
awillicott7,Optimized empowering infrastructure,230577.14,1990,R&B
kstovell8,Triple-buffered dynamic portal,377306.56,2012,hip hop
clehenmann9,Horizontal zero defect circuit,249261.73,2000,R&B
vtrassa,Right-sized incremental parallelism,270985.33,1997,R&B
hcornelisb,Reverse-engineered logistical attitude,61999.16,2013,R&B
yelegoodc,Monitored context-sensitive superstructure,128292.19,2000,pop
flangthornd,Organic fault-tolerant function,436328.02,1995,pop
cabernethye,Open-source content-based instruction set,727986.01,1986,hip hop
pgansbuhlerf,Secured coherent initiative,509955.0,2012,hip hop
caldrichg,Innovative transitional groupware,550050.51,2005,R&B
rlettereseh,Managed 4th generation database,772701.16,2011,pop
wspellesyi,Multi-layered systematic focus group,709413.75,2000,pop
klochetj,Progressive incremental framework,617833.03,2002,R&B
amarvalk,Implemented web-enabled firmware,933313.78,2006,R&B
eworshalll,Reduced client-driven functionalities,154793.92,2001,pop
ekeelm,Vision-oriented didactic forecast,934712.8,2000,hip hop
ltuckwoodn,Intuitive asynchronous success,478573.34,1985,hip hop
iharpero,Reduced user-facing internet solution,273367.49,2010,hip hop
gkinsmanp,Cloned bi-directional archive,248783.62,1995,R&B
bolearyq,Extended cohesive function,288274.7,2006,hip hop
kdenziloer,Visionary zero defect help-desk,297158.24,2004,R&B
hhellings,Proactive non-volatile installation,718522.26,2009,R&B
mearlet,Digitized fresh-thinking extranet,504300.49,1995,pop
dthiemeu,Distributed high-level toolset,275002.06,2011,hip hop
tkarysv,Down-sized cohesive alliance,116523.74,2008,R&B
grembaudw,Balanced client-server collaboration,700794.46,2001,pop
nscurmanx,Vision-oriented actuating extranet,798056.1,2009,pop
ncowtony,Robust human-resource frame,736457.12,2011,R&B
mweitzelz,Re-engineered leading edge installation,937482.87,2012,R&B
aebbs10,Secured reciprocal functionalities,299293.01,2005,pop
mpargeter11,Down-sized uniform product,148299.6,2006,R&B
dseage12,Face to face mobile benchmark,381195.54,2007,R&B
ncampana13,Synergistic full-range alliance,392291.54,2011,hip hop
nroe14,Triple-buffered system-worthy knowledge user,840217.52,1966,hip hop
tdionisi15,Enterprise-wide dedicated frame,720554.83,2001,R&B
rstansfield16,Cross-group multi-state firmware,206343.61,2009,R&B
cjeste17,Devolved stable forecast,620562.02,1996,hip hop
jvila18,Mandatory 24 hour service-desk,471084.53,1957,R&B
kstawell19,Front-line dedicated array,533244.07,2003,hip hop
tdawtry1a,Programmable methodical neural-net,86382.67,1993,R&B
jstollenwerck1b,De-engineered 5th generation process improvement,951671.85,1999,hip hop
mcraiker1c,Devolved static task-force,410810.11,2003,hip hop
rblondin1d,Business-focused bottom-line artificial intelligence,447507.47,1986,R&B
rkaley1e,Monitored intangible help-desk,633717.45,2003,pop
cheath1f,Phased web-enabled solution,741866.71,2012,R&B
hbrookson1g,Inverse systematic capacity,976647.67,1988,hip hop
grobertshaw1h,Self-enabling empowering hardware,994739.4,1993,pop
cbarsham1i,Automated 4th generation open system,45201.71,2006,pop
ggareisr1j,Expanded dynamic initiative,575378.64,2005,hip hop
jhunnable1k,User-centric didactic solution,987126.63,2011,R&B
aprobet1l,Reverse-engineered asymmetric toolset,86493.48,2007,pop
browes1m,Customizable global framework,391424.95,1993,pop
sboldecke1n,Cross-platform dynamic flexibility,910769.87,2003,hip hop
dbilt1o,Networked high-level orchestration,258450.41,2010,pop
nspurling1p,Intuitive bifurcated standardization,440793.04,2010,pop
bmillions1q,Advanced optimal info-mediaries,201794.92,1992,hip hop
ieilers1r,Universal optimal approach,141783.91,1995,pop
tpettingill1s,Synchronised web-enabled projection,586370.19,1986,hip hop
aboyles1t,Robust discrete emulation,523587.04,2011,hip hop
dskillicorn1u,Down-sized intangible interface,228400.63,1997,hip hop
dgibberd1v,Compatible empowering frame,380899.92,1992,pop
rhamlett1w,Versatile regional time-frame,8801.61,2007,pop
kteesdale1x,Optimized directional matrices,500652.46,2012,pop
bivory1y,Face to face cohesive pricing structure,298142.8,2008,hip hop
gstoffler1z,Automated encompassing open architecture,501595.81,2000,pop
aead20,Down-sized intermediate instruction set,639822.16,1997,R&B
agledhill21,Future-proofed full-range benchmark,885311.06,2012,pop
jeustanch22,Front-line reciprocal service-desk,363534.88,1999,pop
dcundy23,De-engineered optimizing productivity,259454.6,1993,pop
emacdougall24,Grass-roots logistical secured line,380459.03,2000,R&B
mmatyas25,Multi-layered multimedia projection,386156.96,1984,pop
jcreus26,Seamless real-time concept,569923.33,1997,pop
mbolitho27,Persevering tangible website,262229.29,1993,R&B
vtownes28,Open-architected secondary superstructure,862814.85,2004,hip hop
pweddup29,Customizable system-worthy secured line,316210.88,2004,pop
rwilcott2a,Realigned coherent instruction set,481894.66,1993,hip hop
astandage2b,Fundamental next generation monitoring,737392.7,2004,pop
dcartman2c,Upgradable attitude-oriented adapter,36525.74,1998,pop
tjeandot2d,Future-proofed uniform collaboration,134131.56,2013,pop
rlargent2e,Proactive leading edge implementation,355324.41,2010,hip hop
pcasina2f,Networked well-modulated algorithm,555725.84,2004,hip hop
nsomerville2g,Future-proofed dedicated software,732531.98,2006,hip hop
lvanderstraaten2h,Synchronised intermediate software,773655.05,1985,pop
mmayou2i,Managed fault-tolerant solution,982498.82,1996,pop
csyseland2j,Multi-lateral 5th generation encoding,394467.92,2002,R&B
umaving2k,Total contextually-based solution,254070.68,2008,pop
cluckes2l,Innovative actuating info-mediaries,660084.51,2008,R&B
mchristmas2m,Virtual holistic knowledge user,573416.49,2012,pop
mthorneloe2n,Enhanced upward-trending support,344805.69,2009,R&B
cmcquorkel2o,Upgradable discrete solution,113897.21,2007,pop
clawrenz2p,Innovative 24/7 interface,994883.15,2008,pop
ddaintrey2q,Enterprise-wide directional initiative,72676.22,2006,R&B
hdulanty2r,Customizable client-server superstructure,163008.13,2008,R&B
rgeffen2s,Progressive static function,264511.43,2013,hip hop
knarraway2t,Polarised national groupware,355357.88,2010,hip hop
mmccorry2u,Synergistic system-worthy budgetary management,934605.16,2001,R&B
rmacafee2v,Programmable fault-tolerant portal,922247.86,2001,hip hop
gbrevetor2w,Enhanced leading edge interface,685481.72,2009,R&B
acourtes2x,Advanced motivating service-desk,649639.76,2006,R&B
cocurran2y,Polarised reciprocal functionalities,2035.19,2010,pop
wrising2z,Horizontal actuating complexity,23220.94,1987,hip hop
kclem30,Right-sized 4th generation solution,851020.3,1994,pop
asidary31,Profound bifurcated local area network,795721.46,2010,hip hop
bmaccosty32,Operative intermediate core,338001.38,2005,pop
mrenvoys33,Automated stable alliance,705890.3,1997,pop
scumes34,Proactive bifurcated service-desk,633541.83,2005,hip hop
bschonfelder35,Reactive actuating hub,174321.98,2011,hip hop
grenzo36,Programmable content-based success,236733.45,1993,pop
vdanzelman37,Programmable web-enabled process improvement,747285.61,2006,hip hop
barens38,Implemented fresh-thinking functionalities,414058.05,1998,pop
hrushmer39,Programmable asymmetric portal,927.88,2009,R&B
aerdely3a,Phased fresh-thinking superstructure,996512.44,2002,pop
gmckleod3b,Fundamental local access,89759.53,2002,hip hop
